Symbol
NHPC
BPCL
CHCL
AHPC
SHPC
RIDI
BARUN
API
NGPL
KKHC
DHPL
AKPL
SPDL
UMHL
CHL
HPPL
NHDL
RADHI
PMHPL
KPCL
AKJCL
JOSHI
UPPER
GHL
UPCL
MHNL
PPCL
HURJA
UNHPL
RHPL
SJCL
HDHPC
LEC
SSHL
MEN
UMRH
GLH
SHEL
RURU
MKJC
SAHAS
TPC
SPC
NYADI
MBJC
BNHC
GVL
BHL
RFPL
DORDI
BHDC
HHL
UHEWA
SGHC
MHL
USHEC
RHGCL
SPHL
PPL
SIKLES
EHPL
PHCL
BHPL
SMHL
SPL
SMH
MKHC
AHL
TAMOR
MHCL
SMJC
MAKAR
MKHL
DOLTI
BEDC
MCHL
IHL
MEL
RAWA
USHL
TSHL
KBSH
MEHL
ULHC
MANDU
BGWT
MSHL
MMKJL
TVCL
VLUCL
CKHL
